Complexity,Loss,Equation
1,0.9999999,"-3.9027294e-5"
3,0.99859726,"Delta_THR * -0.65665054"
4,0.9983868,"sig(RPE + -4.4558783)"
5,0.9965342,"0.00026116503 / (RPE - Delta_THR)"
8,0.99593395,"(sig(RPE + -3.7710326) - Delta_THR) + -0.04449593"
9,0.995857,"((5.228138e-5 / 0.19390732) / (RPE - Delta_THR)) - Delta_THR"
12,0.9937959,"sig(-3.7372928 - (Delta_THR / (RPE / ((Delta_THR - -0.035210308) / RPE))))"
14,0.99202055,"sig((RPE + -3.7374597) - (Delta_THR / (RPE / (-1.6726286 - (-0.024659447 / RPE)))))"
16,0.99000454,"sig(((RPE + -3.7374597) - (Delta_THR / (RPE / (-1.6726286 - (-0.024659447 / RPE))))) / 0.34137535)"
18,0.9876513,"sig(RPE + (-3.7374597 - (Delta_THR / (RPE / (-1.6726286 - (-0.024659447 / RPE)))))) + (-0.061400037 - Delta_THR)"
20,0.98751086,"(sig(RPE + (-3.7374597 - (Delta_THR / (RPE / (-1.6726286 - (-0.024659447 / RPE)))))) + (-0.061400037 - Delta_THR)) / 1.1027555"
22,0.9872218,"(sig(RPE + (-3.7372928 - (Delta_THR / (RPE / (-1.3959745 - (-0.035210308 / RPE)))))) + -0.062363263) - ((0.0002534418 / RPE) + Delta_THR)"
24,0.9865203,"(-0.062363263 - ((0.0002534418 / RPE) + Delta_THR)) + sig((RPE + -3.7372928) - ((Delta_THR * 0.63981515) / (RPE / (-1.6728731 - (-0.035210308 / RPE)))))"
26,0.9863991,"(sig((Delta_THR + (RPE + -3.7326539)) - (Delta_THR * (0.74116164 / (RPE / (-1.7250459 - (-0.032323647 / RPE)))))) + -0.059725434) - (Delta_THR - (-0.00025593874 / RPE))"
28,0.9862869,"sig(RPE + (-3.803657 - (((RPE + 0.5556138) * Delta_THR) / (RPE / (-1.6527777 - ((RPE + -0.04283783) / RPE)))))) + (-0.059209332 - ((0.00025536885 / RPE) + Delta_THR))"
30,0.98619896,"(sig((RPE + -3.818405) - (((RPE + 0.59012115) + RPE) * (Delta_THR / (RPE / (-1.6647658 - ((RPE + -0.041411597) / RPE)))))) + -0.05914525) - (Delta_THR + (0.00025418747 / RPE))"
